algorithm,cluster_count,noise_count,noise_share,coverage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_share,eligible,n_clusters,linkage,metric,eps,min_samples,inertia
Agglomerative Clustering,11,0,0.0,1.0,0.20511940076580498,426.62955183362106,1.5934232412512896,8.0,0.7838297872340425,False,11.0,complete,manhattan,,,
Agglomerative Clustering,11,0,0.0,1.0,0.30744908809203886,361.7863444684561,1.1891866127535962,2.0,0.82,False,11.0,average,euclidean,,,
Agglomerative Clustering,11,0,0.0,1.0,0.3179833149926618,347.4926833965578,1.1941166819352218,2.0,0.8367375886524823,False,11.0,average,manhattan,,,
Agglomerative Clustering,11,0,0.0,1.0,0.08880341469878704,623.2872053295232,1.8773477703252326,41.0,0.2127659574468085,False,11.0,average,cosine,,,
Agglomerative Clustering,12,0,0.0,1.0,0.10984795681944745,761.6920961635035,1.9136927523716751,114.0,0.1774468085106383,True,12.0,ward,euclidean,,,
Agglomerative Clustering,12,0,0.0,1.0,0.2556926409512032,358.5605583292917,1.3901152184612464,3.0,0.8133333333333334,False,12.0,complete,euclidean,,,
Agglomerative Clustering,12,0,0.0,1.0,0.18587610729255374,398.16856944884574,1.567337504675742,8.0,0.7838297872340425,False,12.0,complete,manhattan,,,
Agglomerative Clustering,12,0,0.0,1.0,0.24385511263847787,352.04897987078294,1.1937199701681929,2.0,0.82,False,12.0,average,euclidean,,,
Agglomerative Clustering,12,0,0.0,1.0,0.3176768016898567,316.3524910021176,0.9815868970319922,1.0,0.8367375886524823,False,12.0,average,manhattan,,,
Agglomerative Clustering,12,0,0.0,1.0,0.07973580377494652,584.0447330848441,1.8586005905622915,41.0,0.2127659574468085,False,12.0,average,cosine,,,
Agglomerative Clustering,13,0,0.0,1.0,0.10119186839525084,726.9071175903899,1.8913585904003019,114.0,0.1774468085106383,True,13.0,ward,euclidean,,,
Agglomerative Clustering,13,0,0.0,1.0,0.2064402236148893,349.4930432106596,1.4234370833428307,3.0,0.8133333333333334,False,13.0,complete,euclidean,,,
